# Irregular inflections — the forms no suffix rule can reach.  GENERATED; do
# not hand-edit.
#
# Regenerate:
#   ./crates/verb-synonyms-gen/fetch-sources.sh /tmp/verbsyn
#   cargo run -p verb-synonyms-gen -- irregulars \
#       --wordnet /tmp/verbsyn/WordNet-3.0/dict \
#       -o crates/verb-synonyms/src/irregular_forms.tsv
#
# SOURCE: WordNet 3.0 (Princeton University, 2006) — `verb.exc` and `noun.exc`
# out of WordNet-3.0.tar.gz, sha256 640db279…d3a52.  The notice Princeton's
# licence requires is in THIRD-PARTY-NOTICES.md at the repository root.  The
# DB-only WNdb-3.0.tar.gz carries neither file, which is why fetch-sources.sh
# takes the full tarball.
#
# FORMAT: one `form<TAB>base` per line.  A form appears on SEVERAL lines when
# WordNet gives it more than one base — `axes` is `ax` and `axis`, `singing` is
# `sing` and `singe`, `overflown` is `overflow` and `overfly` — which is why the
# reader hands back a slice and lets the story's own dictionary choose.
#
# SORTED, and unlike synonym_groups.tsv that is safe: nothing here depends on
# line order.  A form's bases are alternative readings of one spelling with no
# ranking between them available or wanted, so the file is sorted to be
# greppable and to diff cleanly across a regeneration.
#
# VERBS AND NOUNS BOTH.  `lit` → `light` is the motivating case, but the
# consumer (`vocab::stems` in `app`) is asked about every position in a command,
# so `mice` → `mouse` is the same case one slot to the right.  A pair that both
# lists give is written once.
#
# 2417 verb rows, 2107 noun rows, 4520 lines, 4424 distinct forms.
aardwolves	aardwolf
flatted	flat
flatting	flat
fled	flee
fleurs-de-lis	fleur-de-lis
fleurs-de-lys	fleur-de-lys
flew	fly
flights of stairs	flight of stairs
flimflammed	flimflam
flimflamming	flimflam
flip-flopped	flip-flop
flip-flopping	flip-flop
flipped	flip
flipping	flip
flitted	flit
flittermice	flittermouse
flitting	flit
flocci	floccus
flocculi	flocculus
flogged	flog
flogging	flog
floodlit	floodlight
flopped	flop
flopping	flop
florae	flora
floreant.	floreat
florilegia	florilegium
flowers-de-luce	flower-de-luce
flown	fly
flubbed	flub
flubbing	flub
flung	fling
flurried	flurry
flyblew	flyblow
flyblown	flyblow
flyleaves	flyleaf
fobbed	fob
fobbing	fob
foci	focus
fogged	fog
fogging	fog
folia	folium
footslogged	footslog
footslogging	footslog
fora	forum
foramina	foramen
forbad	forbid
forbade	forbid
forbidden	forbid
forbidding	forbid
forbore	forbear
forborne	forbear
force-fed	force-feed
fordid	fordo
fordone	fordo
foredid	foredo
foredone	foredo
forefeet	forefoot
foregone	forego
foreknew	foreknow
foreknown	foreknow
foreran	forerun
forerunning	forerun
foresaw	foresee
foreseen	foresee
foreshown	foreshow
forespoke	forespeak
forespoken	forespeak
foreteeth	foretooth
foretold	foretell
forewent	forego
forgave	forgive
forgetting	forget
forgiven	forgive
forgone	forgo
forgot	forget
forgotten	forget
formatted	format
formatting	format
formicaria	formicarium
formulae	formula
fornices	fornix
forsaken	forsake
forsook	forsake
forspoke	forspeak
forspoken	forspeak
forswore	forswear
forsworn	forswear
fortes	fortis
fortified	fortify
forwent	forgo
fossae	fossa
fought	fight
found	find
foveae	fovea
foveolae	foveola
foxtrotted	foxtrot
foxtrotting	foxtrot
fractocumuli	fractocumulus
fractostrati	fractostratus
fraena	fraenum
frapped	frap
frapping	frap
frauen	frau
freeze-dried	freeze-dry
frena	frenum
frenchified	frenchify
frenula	frenulum
frenzied	frenzy
frescoes	fresco
fretted	fret
fretting	fret
fricandeaux	fricandeau
fricandoes	fricando
fried	fry
frigged	frig
frigging	frig
frijoles	frijol
fritted	frit
fritted	fritt
fritting	frit
fritting	fritt
frivolled	frivol
frivolling	frivol
frogfishes	frogfish
frogged	frog
frogging	frog
frolicked	frolic
frolicking	frolic
frontes	frons
froze	freeze
frozen	freeze
fructified	fructify
frusta	frustum
fuci	fucus
fuelled	fuel
fuelling	fuel
fulcra	fulcrum
fulfilled	fulfil
fulfilled	fulfill
fulfilling	fulfil
fulfilling	fulfill
fumatoria	fumatorium
fundi	fundus
fungi	fungus
funiculi	funiculus
funned	fun
funnelled	funnel
funnelling	funnel
funning	fun
furcula	furculum
furculae	furcula
furfures	furfur
furred	fur
furring	fur
gadded	gad
gadding	gad
gagged	gag
gagging	gag
gainsaid	gainsay
galeae	galea
gambadoes	gambado
gambolled	gambol
gambolling	gambol
gametangia	gametangium
gametoecia	gametoecium
gammadia	gammadion
gammed	gam
gamming	gam
gan	gin
ganglia	ganglion
ganned	gan
ganning	gan
gapped	gap
gapping	gap
garfishes	garfish
gasified	gasify
gassed	gas
gasses	gas
gassing	gas
gastrulae	gastrula
gateaux	gateau
gave	give
gazeboes	gazebo
geckoes	gecko
geese	goose
gelled	gel
gelling	gel
gelsemia	gelsemium
gelt	geld
gemboks	gemsbok
gembucks	gemsbuck
gemeinschaften	gemeinschaft
gemmae	gemma
gemmed	gem
gemming	gem
genera	genus
generatrices	generatrix
geneses	genesis
genii	genius
genned-up	gen-up
genning-up	gen-up
gens-up	gen-up
gentes	gens
gentlemen-at-arms	gentleman-at-arms
gentlemen-farmers	gentleman-farmer
genua	genu
germina	germen
gesellschaften	gesellschaft
gestalten	gestalt
gets lost	get lost
gets started	get started
getting	get
getting lost	get lost
getting started	get started
ghettoes	ghetto
ghostwritten	ghostwrite
ghostwrote	ghostwrite
gibbed	gib
gibbing	gib
giddied	giddy
giftwrapped	giftwrap
giftwrapping	giftwrap
gigged	gig
gigging	gig
gilt	gild
gingivae	gingiva
gingkoes	gingko
ginglymi	ginglymus
ginkgoes	ginkgo
ginned	gin
ginning	gin
gipped	gip
gipping	gip
gippoes	gippo
girt	gird
given	give
glabellae	glabella
gladioli	gladiolus
glandes	glans
gliomata	glioma
glissandi	glissando
globefishes	globefish
globigerinae	globigerina
glochidcia	glochidium
glochidia	glochidium
glomeruli	glomerulus
glommed	glom
glomming	glom
gloried	glory
glorified	glorify
glossae	glossa
glottides	glottis
glutaei	glutaeus
glutei	gluteus
glutted	glut
glutting	glut
gnawn	gnaw
gnoses	gnosis
goatfishes	goatfish
goboes	gobo
godchildren	godchild
goes	go
goes deep	go deep
going deep	go deep
goings-over	going-over
goldfishes	goldfish
gollied	golly
gomphoses	gomphosis
gone	go
gone deep	go deep
gonia	gonion
gonidia	gonidium
gonococci	gonococcus
goodwives	goodwife
goose-stepped	goose-step
goose-stepping	goose-step
goosefishes	goosefish
gorgoneia	gorgoneion
gospopoda	gospodin
got	get
got lost	get lost
got started	get started
gotten	get
gotten lost	get lost
governors general	governor general
goyim	goy
grabbed	grab
grabbing	grab
grafen	graf
graffiti	graffito
grandchildren	grandchild
grants-in-aid	grant-in-aid
granulomata	granuloma
gratified	gratify
gravamina	gravamen
gravelled	gravel
gravelling	gravel
graven	grave
grew	grow
grig-gris	gris-gris
grinned	grin
grinning	grin
gripped	grip
gripping	grip
gript	grip
gritted	grit
gritting	grit
groszy	grosz
grottoes	grotto
ground	grind
grovelled	grovel
grovelling	grovel
grown	grow
grubbed	grub
grubbing	grub
guarantied	guaranty
guilder	guilde
guilders	guilde
guilders	guilder
guitarfishes	guitarfish
gullied	gully
gummata	gumma
gummed	gum
gumming	gum
gunned	gun
gunning	gun
gurnard	gurnar
gurnards	gurnar
gurnards	gurnard
guttae	gutta
gymnasia	gymnasium
gynaecea	gynaeceum
gynaecia	gynaecium
gynecea	gynecium
gynecia	gynecium
gynoecea	gynoecium
gynoecia	gynoecium
gypped	gyp
gypping	gyp
gyri	gyrus
hacksawn	hacksaw
had	have
had a feeling	have a feeling
had left	have left
had the feeling	have the feeling
hadarim	heder
hadjes	hadj
haematolyses	haematolysis
haematomata	haematoma
haematozoa	haematozoon
haemodialyses	haemodialysis
haemolyses	haemolysis
haemoptyses	haemoptysis
haeredes	haeres
haftaroth	haftarah
hagfishes	hagfish
haggadas	haggada
haggadas	haggadah
haggadoth	haggada
hajjes	hajj
haleru	haler
halfpence	halfpenny
hallot	hallah
halloth	hallah
halluces	hallux
haloes	halo
halteres	halter
halteres	haltere
halves	half
hammed	ham
hamming	ham
hamstrung	hamstring
hamuli	hamulus
hand-knitted	hand-knit
hand-knitting	hand-knit
handfed	handfeed
handicapped	handicap
handicapping	handicap
handselled	handsel
handselling	handsel
hangers-on	hanger-on
haphtaroth	haphtarah
haredim	haredi
harried	harry
haruspices	haruspex
has	have
has a feeling	have a feeling
has left	have left
has the feeling	have the feeling
hasidim	hasid
hassidim	hassid
hatchelled	hatchel
hatchelling	hatchel
hatted	hat
hatting	hat
haustella	haustellum
haustoria	haustorium
having a feeling	have a feeling
having left	have left
having the feeling	have the feeling
hazzanim	hazzan
heard	hear
hectocotyli	hectocotylus
hedgehopped	hedgehop
hedgehopping	hedgehop
heirs-at-law	heir-at-law
held	hold
heldentenore	heldentenor
helices	helix
heliozoa	heliozoan
hematolyses	hematolysis
hematomata	hematoma
hematozoa	hematozoon
hemelytra	hemelytron
hemielytra	hemielytron
hemmed	hem
hemming	hem
hemodialyses	hemodialysis
hemolyses	hemolysis
hemoptyses	hemoptysis
hendecahedra	hendecahedron
hens-and-chickens	hen-and-chickens
heraclidae	heraclid
heraklidae	heraklid
herbaria	herbarium
hermae	herm
hermae	herma
hermai	herma
herniae	hernia
heroes	hero
herren	herr
hetaerae	hetaera
hetairai	hetaira
hewn	hew
hibernacula	hibernaculum
hiccupped	hiccup
hiccupping	hiccup
hid	hide
hidden	hide
hieracosphinges	hieracosphinx
high-hatted	high-hat
high-hatting	high-hat
hila	hilum
hili	hilus
himatia	himation
hinnied	hinny
hippocampi	hippocampus
hippopotami	hippopotamus
hitting	hit
hobbed	hob
hobbing	hob
hobnobbed	hobnob
hobnobbing	hobnob
hoboes	hobo
hocus-pocussed	hocus-pocus
hocus-pocussing	hocus-pocus
hocussed	hocus
hocussing	hocus
hogfishes	hogfish
hogged	hog
hogging	hog
hogtying	hogtie
homunculi	homunculus
honied	honey
honoraria	honorarium
hooves	hoof
hopped	hop
hopping	hop
horologia	horologium
horrified	horrify
horsewhipped	horsewhip
horsewhipping	horsewhip
houselled	housel
houselling	housel
houses of cards	house of cards
housewives	housewife
hove	heave
hovelled	hovel
hovelling	hovel
hugged	hug
hugging	hug
humbugged	humbug
humbugging	humbug
humeri	humerus
humidified	humidify
hummed	hum
humming	hum
hung	hang
hurried	hurry
hydrae	hydra
hydromedusae	hydromedusa
hydrozoa	hydrozoan
hymenoptera	hymenopteran
hynia	hymenium
hyniums	hymenium
hypanthia	hypanthium
hyperostoses	hyperostosis
hypertrophied	hypertrophy
hyphae	hypha
hypnoses	hypnosis
hypochondria	hypochondrium
hypogastria	hypogastrium
hypogea	hypogeum
hypophyses	hypophysis
hypostases	hypostasis
hypothalami	hypothalamus
hypotheses	hypothesis
hyraces	hyrax
iambi	iamb
ibices	ibex
ibo	igbo
ichthyosauri	ichthyosaurus
ichthyosauruses	ichthyosaur
ichthyosauruses	ichthyosaurus
iconostases	iconostas
iconostases	iconostasis
icosahedra	icosahedron
ideata	ideatum
identified	identify
igorrorote	igorrote
ilia	ilium
imagines	imago
imagoes	imago
imbedded	imbed
imbedding	imbed
impanelled	impanel
impanelling	impanel
impelled	impel
impelling	impel
imperia	imperium
impies	impi
implied	imply
inbred	inbreed
incubi	incubus
incudes	incus
incurred	incur
incurring	incur
indemnified	indemnify
indices	index
indigoes	indigo
indumenta	indumentum
indusia	indusium
indwelt	indwell
inferred	infer
inferring	infer
infundibula	infundibulum
ingushes	ingush
initialled	initial
initialling	initial
inlaid	inlay
innuendoes	innuendo
inocula	inoculum
inquisitors-general	inquisitor-general
insectaria	insectarium
insetting	inset
inspanned	inspan
inspanning	inspan
installed	instal
installed	install
installing	instal
installing	install
insulae	insula
intagli	intaglio
intensified	intensify
interbred	interbreed
intercropped	intercrop
intercropping	intercrop
intercutting	intercut
interlaid	interlay
interlapped	interlap
interlapping	interlap
interleaves	interleaf
intermarried	intermarry
intermezzi	intermezzo
intermitted	intermit
intermitting	intermit
interpled	interplead
interred	inter
interreges	interrex
interregna	interregnum
interring	inter
interstratified	interstratify
interwove	interweave
interwoven	interweave
intimae	intima
intromitted	intromit
intromitting	intromit
involucella	involucellum
involucra	involucrum
inwove	inweave
inwoven	inweave
inwrapped	inwrap
inwrapping	inwrap
irides	iris
is	be
ischia	ischium
isthmi	isthmus
jabbed	jab
jabbing	jab
jackeroos	jackaroo
jackeroos	jackeroo
jackfishes	jackfish
jackknives	jackknife
jacks-in-the-box	jack-in-the-box
jagged	jag
jagging	jag
jambeaux	jambeau
jammed	jam
jamming	jam
japanned	japan
japanning	japan
jarred	jar
jarring	jar
jellied	jelly
jellified	jellify
jellyfishes	jellyfish
jemmied	jemmy
jerry-built	jerry-build
jetted	jet
jetting	jet
jewelfishes	jewelfish
jewelled	jewel
jewelling	jewel
jewfishes	jewfish
jibbed	jib
jibbing	jib
jigged	jig
jigging	jig
jimmied	jimmy
jingoes	jingo
jinn	jinni
jitterbugged	jitterbug
jitterbugging	jitterbug
jobbed	job
jobbing	job
joes	jo
joes	joe
jog-trotted	jog-trot
jog-trotting	jog-trot
jogged	jog
jogging	jog
joined battle	join battle
joined forces	join forces
joining battle	join battle
joining forces	join forces
joins battle	join battle
joins forces	join forces
jollied	jolly
jollified	jollify
jotted	jot
jotting	jot
joy-ridden	joy-ride
joy-rode	joy-ride
joypopped	joypop
joypopping	joypop
judge advocates general	judge advocate general
jugged	jug
jugging	jug
jumped off	jump off
jumping off	jump off
jumps off	jump off
jura	jus
justified	justify
jutted	jut
jutting	jut
kaddishim	kaddish
kalmuck	kalmuc
kalmucks	kalmuc
kalmucks	kalmuck
katabases	katabasis
keeshonden	keeshond
kenned	ken
kennelled	kennel
kennelling	kennel
kenning	ken
kent	ken
kept	keep
kernelled	kernel
kernelling	kernel
kibbutzim	kibbutz
kidded	kid
kidding	kid
kidnapped	kidnap
kidnapping	kidnap
killifishes	killifish
kingfishes	kingfish
kings-of-arms	king-of-arms
kipped	kip
kipping	kip
knapped	knap
knapping	knap
kneecapped	kneecap
kneecapping	kneecap
knelt	kneel
knew	know
knights bachelor	knight bachelor
knights bachelors	knight bachelor
knights templar	knight templar
knights templars	knight templar
knitted	knit
knitting	knit
knives	knife
knobbed	knob
knobbing	knob
knotted	knot
knotting	knot
known	know
ko'd	ko
ko'ing	ko
ko's	ko
kohlrabies	kohlrabi
kronen	krone
kroner	krone
kronur	krona
krooni	kroon
kylikes	kylix
labara	labarum
labella	labellum
labelled	label
labelling	label
labia	labium
labra	labrum
lactobacilli	lactobacillus
lacunae	lacuna
lacunaria	lacunar
laden	lade
ladies-in-waiting	lady-in-waiting
ladyfied	ladify
ladyfies	ladify
ladyfying	ladify
lagged	lag
lagging	lag
laid	lay
lain	lie
lallygagged	lallygag
lallygagging	lallygag
lamellae	lamella
lamiae	lamia
laminae	lamina
lammed	lam
lamming	lam
lapidified	lapidify
lapilli	lapillus
lapithae	lapith
lapped	lap
lapping	lap
larvae	larva
larynges	larynx
lassoes	lasso
lati	lat
latices	latex
latifundia	latifundium
latu	lat
laurelled	laurel
laurelling	laurel
lavaboes	lavabo
lay	lie
layed for	lie for
laying for	lie for
lays for	lie for
leant	lean
leapfrogged	leapfrog
leapfrogging	leapfrog
leapt	leap
learnt	learn
leaves	leaf
leaves	leave
leaves undone	leave undone
leaving undone	leave undone
lecythi	lecythus
led	lead
left	leave
left undone	leave undone
leges	lex
lei	leu
lemmata	lemma
lemnisci	lemniscus
lenes	lenis
lent	lend
lentigines	lentigo
leonides	leonid
lepidoptera	lepidopteran
leprosaria	leprosarium
lepta	lepton
leptocephali	leptocephalus
letting	let
leucocytozoa	leucocytozoan
leva	lev
levelled	level
levelling	level
levied	levy
libelled	libel
libelling	libel
librae	libra
libretti	libretto
lice	louse
lieder	lied
lignified	lignify
ligulae	ligula
limbi	limbus
limina	limen
limites	limes
limuli	limulus
lingoes	lingo
linguae	lingua
linguae francae	lingua franca
lionfishes	lionfish
lipomata	lipoma
lipped	lip
lipping	lip
liquefied	liquefy
liquified	liquify
lire	lira
liriodendra	liriodendron
lisente	sente
listente	sente
lit	light
litai	lit
litai	litas
litu	litas
lives	life
lixivia	lixivium
loaves	loaf
lobbed	lob
lobbied	lobby
lobbing	lob
loci	locus
loculi	loculus
logged	log
loggie	loggia
logging	log
logia	logion
lomenta	lomentum
longobardi	longobard
looked towards	look towards
looking towards	look towards
looks towards	look towards
lopped	lop
lopping	lop
loricae	lorica
lost	lose
lotted	lot
lotting	lot
loups-garous	loup-garou
lubritoria	lubritorium
lugged	lug
lugging	lug
lullabied	lullaby
lumbus	lumbi
lumina	lumen
lumpfishes	lumpfish
lungfishes	lungfish
lunulae	lunula
lures	lur
lures	lure
lustra	lustre
lying	lie
lyings-in	lying-in
lymphangitides	lymphangitis
lymphomata	lymphoma
lymphopoieses	lymphopoiesis
lyses	lysis
lyttae	lytta
maare	maar
macaronies	macaroni
maccaronies	maccaroni
machine-gunned	machine-gun
machine-gunning	machine-gun
machzorim	machzor
macronuclei	macronucleus
macrosporangia	macrosporangium
maculae	macula
madded	mad
madding	mad
made	make
madornos	madrono
maestri	maestro
mafiosi	mafioso
magi	magus
magmata	magma
magnificoes	magnifico
magnified	magnify
mahzorim	mahzor
major axes	major axis
major-axes	major axis
makuta	likuta
mallei	malleus
malleoli	malleolus
maloti	loti
mamillae	mamilla
mammae	mamma
mammillae	mammilla
mandingoes	mandingo
mangoes	mango
manifestoes	manifesto
manned	man
manning	man
manteaux	manteau
mantes	mantis
manubria	manubrium
manumitted	manumit
manumitting	manumit
mapped	map
mapping	map
marcelled	marcel
marcelling	marcel
marchese	marchesa
marchesi	marchese
maremme	maremma
markkaa	markka
marred	mar
married	marry
marring	mar
marshalled	marshal
marshalling	marshal
marsupia	marsupium
marvelled	marvel
marvelling	marvel
marvels-of-peru	marvel-of-peru
mass media	mass medium
masses	mass
masses	masse
masters-at-arms	master-at-arms
matrices	matrix
matted	mat
matting	mat
matzoth	matzo
mausolea	mausoleum
maxillae	maxilla
maxima	maximum
meant	mean
medalled	medal
medalling	medal
media	medium
mediae	media
mediastina	mediastinum
medullae	medulla
medullae oblongatae	medulla oblongata
medusae	medusa
megara	megaron
megasporangia	megasporangium
megilloth	megillah
meioses	meiosis
melanomata	melanoma
melismata	melisma
mementoes	memento
memoranda	memorandum
men	man
men of letters	man of letters
men-at-arms	man-at-arms
men-o'-war	man-of-war
men-of-war	man-of-war
menisci	meniscus
menservants	manservant
menstrua	menstruum
mesdames	madame
mesdemoiselles	mademoiselle
mesentera	mesenteron
mesothoraces	mesothorax
messeigneurs	monseigneur
messieurs	monsieur
mestizoes	mestizo
met	meet
metacarpi	metacarpus
metalled	metal
metalling	metal
metamorphoses	metamorphosis
metanephroi	metanephros
metastases	metastasis
metatarsi	metatarsus
metatheses	metathesis
metathoraces	metathorax
metazoa	metazoan
metempsychoses	metempsychosis
metencephala	metencephalon
metrified	metrify
mezuzoth	mezuzah
miasmata	miasma
mice	mouse
microanalyses	microanalysis
micrococci	micrococcus
micronuclei	micronucleus
microsporangia	microsporangium
midrashim	midrash
midwives	midwife
might	may
milia	milium
milieux	milieu
militated against	militate against
militates against	militate against
militating against	militate against
milkfishes	milkfish
millennia	millennium
mimicked	mimic
mimicking	mimic
minae	mina
minified	minify
minima	minimum
ministeria	ministerium
minutiae	minutia
minyanim	minyan
mioses	miosis
miracidia	miracidium
miri	mir
misapplied	misapply
misbecame	misbecome
miscarried	miscarry
misdealt	misdeal
misfitted	misfit
misfitting	misfit
misgave	misgive
misgiven	misgive
mishitting	mishit
mishnayoth	mishna
mishnayoth	mishnah
mislaid	mislay
misled	mislead
mispled	misplead
misspelt	misspell
misspent	misspend
mistaken	mistake
mistook	mistake
misunderstood	misunderstand
mitochondria	mitochondrion
mitzvoth	mitzvah
mobbed	mob
mobbing	mob
modelled	model
modelling	model
modified	modify
modioli	modiolus
moduli	modulus
mollified	mollify
molten	melt
momenta	momentum
moments of truth	moment of truth
momi	momus
monades	monad
monades	monas
monkfishes	monkfish
monochasia	monochasium
monopodia	monopodium
monoptera	monopteron
monopteroi	monopteros
monsignori	monsignor
monts-de-piete	mont-de-piete
mooncalves	mooncalf
moonfishes	moonfish
mopped	mop
mopping	mop
morae	mora
moratoria	moratorium
morceaux	morceau
morescoes	moresco
moriscoes	morisco
morphallaxes	morphallaxis
morphoses	morphosis
morses	mors
morses	morse
mortified	mortify
morulae	morula
mosasauri	mosasaurus
moshavim	moshav
moslim	moslem
moslims	moslem
mosquitoes	mosquito
mothers superior	mother superior
mothers-in-law	mother-in-law
mottoes	motto
movers and shakers	mover and shaker
mown	mow
mucosae	mucosa
mucrones	mucro
mudded	mud
muddied	muddy
mudding	mud
mudejares	mudejar
mudfishes	mudfish
mugged	mug
mugging	mug
mulattoes	mulatto
multiparae	multipara
multiplied	multiply
mummed	mum
mummified	mummify
mumming	mum
murices	murex
muskallunge	muskellunge
mutinied	mutiny
mycelia	mycelium
mycetomata	mycetoma
mycobacteria	mycobacterium
mycorrhizae	mycorrhiza
myelencephala	myelencephalon
myiases	myiasis
myocardia	myocardium
myofibrillae	myofibrilla
myomata	myoma
myoses	myosis
myrmidones	myrmidon
mystified	mystify
mythoi	mythos
myxomata	myxoma
nabbed	nab
nabbing	nab
naevi	naevus
nagged	nag
nagging	nag
naiades	naiad
naoi	naos
napped	nap
napping	nap
narcissi	narcissus
nares	naris
nasopharynges	nasopharynx
natatoria	natatorium
naumachiae	naumachia
nauplii	nauplius
nautili	nautilus
navahoes	navaho
navajoes	navajo
nebulae	nebula
necropoleis	necropolis
needlefishes	needlefish
negrilloes	negrillo
negritoes	negrito
negroes	negro
nemeses	nemesis
nephridia	nephridium
nereides	nereid
netted	net
netting	net
neurohypophyses	neurohypophysis
neuromata	neuroma
neuroptera	neuropteron
neuroses	neurosis
nevi	nevus
nibbed	nib
nibbing	nib
nibelungen	nibelung
nickelled	nickel
nickelling	nickel
nid-nodded	nid-nod
nid-nodding	nid-nod
nidi	nidus
nidified	nidify
nielli	niello
nigrified	nigrify
nimbi	nimbus
nimbostrati	nimbostratus
nipped	nip
nipping	nip
nitrified	nitrify
noctilucae	noctiluca
nodded	nod
nodding	nod
nodi	nodus
noes	no
nomina	nomen
non-prossed	non-pros
non-prosses	non-pros
non-prossing	non-pros
nonplussed	nonplus
nonplusses	nonplus
nonplussing	nonplus
nota	notum
notified	notify
noumena	noumenon
novae	nova
novelle	novella
novenae	novena
nubeculae	nubecula
nucelli	nucellus
nuchae	nucha
nuclei	nucleus
nucleoli	nucleolus
nullified	nullify
nulliparae	nullipara
numbfishes	numbfish
numina	numen
nutted	nut
nutting	nut
nymphae	nympha
oarfishes	oarfish
oases	oasis
obeli	obelus
objectified	objectify
objets d'art	objet d'art
obligati	obligato
oboli	obolus
occipita	occiput
occupied	occupy
occurred	occur
occurring	occur
oceanaria	oceanarium
oceanides	oceanid
ocelli	ocellus
ochreae	ochrea
ocreae	ochrea
ocreae	ocrea
octahedra	octahedron
octopi	octopus
oculi	oculus
odea	odeum
oedemata	edema
oedemata	oedema
oesophagi	esophagus
oesophagi	oesophagus
offsetting	offset
oldwives	oldwife
olea	oleum
omasa	omasum
omayyades	omayyad
omenta	omentum
omitted	omit
omitting	omit
ommatidia	ommatidium
ommiades	ommiad
onagri	onager
oogonia	oogonium
oothecae	ootheca
operas seria	opera seria
opercula	operculum
optic axes	optic axis
optima	optimum
ora	os
organa	organon
organa	organum
organums	organa
organums	organum
orthoptera	orthopteron
osar	os
oscula	osculum
ossa	os
ossified	ossify
osteomata	osteoma
ostia	ostium
ottomans	othman
ottomans	ottoman
outbidden	outbid
outbidding	outbid
outbred	outbreed
outcried	outcry
outcropped	outcrop
outcropping	outcrop
outdid	outdo
outdone	outdo
outdrawn	outdraw
outdrew	outdraw
outfitted	outfit
outfitting	outfit
outfought	outfight
outgassed	outgas
outgasses	outgas
outgassing	outgas
outgeneralled	outgeneral
outgeneralling	outgeneral
outgone	outgo
outgrew	outgrow
outgrown	outgrow
outlaid	outlay
outmanned	outman
outmanning	outman
outputted	output
outputting	output
outran	outrun
outridden	outride
outrode	outride
outrunning	outrun
outshone	outshine
outshot	outshoot
outsold	outsell
outspanned	outspan
outspanning	outspan
outstood	outstand
outstripped	outstrip
outstripping	outstrip
outthought	outthink
outwent	outgo
outwitted	outwit
outwitting	outwit
outwore	outwear
outworn	outwear
ova	ovum
overbidden	overbid
overbidding	overbid
overblew	overblow
overblown	overblow
overbore	overbear
overborne	overbear
overbuilt	overbuild
overcame	overcome
overcropped	overcrop
overcropping	overcrop
overdid	overdo
overdone	overdo
overdrawn	overdraw
overdrew	overdraw
overdriven	overdrive
overdrove	overdrive
overflew	overfly
overflown	overflow
overflown	overfly
overgrew	overgrow
overgrown	overgrow
overheard	overhear
overhung	overhang
overlaid	overlay
overlain	overlie
overlapped	overlap
overlapping	overlap
overlay	overlie
overlying	overlie
overmanned	overman
overmanning	overman
overpaid	overpay
overpast	overpass
overran	overrun
overridden	override
overrode	override
overrunning	overrun
oversaw	oversee
overseen	oversee
oversetting	overset
oversewn	oversew
overshot	overshoot
oversimplified	oversimplify
overslept	oversleep
oversold	oversell
overspent	overspend
overspilt	overspill
overstepped	overstep
overstepping	overstep
overtaken	overtake
overthrew	overthrow
overthrown	overthrow
overtook	overtake
overtopped	overtop
overtopping	overtop
overwound	overwind
overwritten	overwrite
overwrote	overwrite
ovoli	ovolo
ovotestes	ovotestis
oxen	ox
oxymora	oxymoron
pacified	pacify
padded	pad
padding	pad
paddlefishes	paddlefish
paid	pay
paise	paisa
paleae	palea
palestrae	palestra
palingeneses	palingenesis
palled	pal
pallia	pallium
palling	pal
palmettoes	palmetto
palpi	palpus
palsied	palsy
pancratia	pancratium
pandied	pandy
panelled	panel
panelling	panel
panettoni	panettone
panicked	panic
panicking	panic
panned	pan
panning	pan
paparazzi	paparazzo
paperknives	paperknife
papillae	papilla
papillomata	papilloma
pappi	pappus
papulae	papula
papyri	papyrus
parabases	parabasis
paraleipses	paraleipsis
paraleipses	paralipsis
parallelled	parallel
parallelling	parallel
paralyses	paralysis
paramecia	paramecium
paramenta	parament
paraphyses	paraphysis
parapodia	parapodium
parapraxes	parapraxis
paraselenae	paraselene
parashoth	parashah
parasyntheta	parasyntheton
parazoa	parazoan
parcelled	parcel
parcelling	parcel
parentheses	parenthesis
parerga	parergon
parhelia	parhelion
parietes	paries
paris-mutuels	pari-mutuel
parodied	parody
parried	parry
parrotfishes	parrotfish
partaken	partake
partook	partake
parulides	parulis
pasos dobles	paso doble
pasquil	pasquinade
pasquilled	pasquinade
pasquilling	pasquinade
pasquils	pasquinade
passers-by	passer-by
pastorali	pastorale
patagia	patagium
patellae	patella
patinae	patina
patresfamilias	paterfamilias
patrolled	patrol
patrolling	patrol
patted	pat
patting	pat
pease	pea
peccadilloes	peccadillo
pectines	pecten
pedalled	pedal
pedalling	pedal
pedaloes	pedalo
pedes	pes
pegged	peg
pegging	peg
pekingese	pekinese
pelves	pelvis
pence	penny
pencilled	pencil
pencilling	pencil
penes	penis
penetralium	penetralia
penicillia	penicillium
penknives	penknife
pennae	penna
penned	pen
pennia	penni
penning	pen
pent	pen
pentahedra	pentahedron
pentimenti	pentimento
penumbrae	penumbra
pepla	peplum
pepped	pep
pepping	pep
pericardia	pericardium
perichondria	perichondrium
pericrania	pericranium
peridia	peridium
perigonia	perigonium
perihelia	perihelion
perinea	perineum
perinephria	perinephrium
perionychia	perionychium
periostea	periosteum
periphrases	periphrasis
peristalses	peristalsis
perithecia	perithecium
peritonea	peritoneum
permitted	permit
permitting	permit
personae	persona
personified	personify
petechiae	petechia
petrified	petrify
petted	pet
pettifogged	pettifog
pettifogging	pettifog
petting	pet
pfennige	pfennig
phalanges	phalange
phalanges	phalanx
phalli	phallus
phantasied	phantasy
pharynges	pharynx
phenomena	phenomenon
