# Synonym groups for interactive-fiction verbs.  GENERATED; do not hand-edit.
#
# Regenerate with `verb-synonyms-gen` — see crates/verb-synonyms-gen/README.md.
# Derived from WordNet 3.0 (Princeton University) and the 12dicts 6.0.2
# lemmatized frequency list (Alan Beale, under the AGID terms).  The notices
# both licences require are in THIRD-PARTY-NOTICES.md at the repository root.
#
# FORMAT: one group per line, members separated by TABS.  There is no key
# column — every member is equal, and a word may appear in SEVERAL groups, one
# per sense.  A tab is the separator because a member may itself contain a
# space (`turn on`), and no dictionary word contains a tab.
#
# A group is one WordNet synset, filtered to words a player might type, plus —
# where a synset no story could match has a hypernym that one can — that synset
# unioned with its immediate hypernym.  Exactly one hop, never chained.
#
# AT LOOKUP, two rules define what this data means:
#   1. Lemmatise the player's word FIRST.  Members are base forms, because an IF
#      parser accepts the imperative; `illuminated` never arrives here, and if
#      the consumer skips this step a miss looks like a hole in the data instead
#      of a missing step in the caller.
#   2. Intersect the group with THIS story's dictionary and show only what
#      survives, then drop the word the player actually typed — it is in the
#      group by construction and it is the one word known to have failed.
#
# LINE ORDER IS SIGNIFICANT — DO NOT SORT THIS FILE.  The groups containing any
# given word appear in that word's own WordNet sense order, commonest sense
# first, so a consumer can walk them most-likely-meaning first and stop after
# three or four dictionary matches.  Sorting the file alphabetically destroys
# that signal silently.  Member order within a line is significant too: verbs
# the corpus actually uses come first, commonest first.
#
# Built with: sense-cap 6 band-cap 16 group-cap 12 hyponym-cap 25 gap-fill true
# From 9893 harvested IF spellings, 2078 of which WordNet knows as verbs.
# 2758 groups, 9735 memberships.
accuse	impeach	incriminate
admire	look up to
come on	come up	go on
come out	appear
come out	emerge	come forth	go forth	issue
come out	fall out
come out	turn out
come over	come across
come through	get through
come through	make it	pull round	pull through	survive
come up	arise	bob up
get up	stand up	rise	arise
command	control	corner
tree	corner
command	control	dominate	master
command	control	charm
command	dominate	overlook
command	control	govern	rule
commit	confide	entrust	trust
lend	loan	trust
commit	practice
compile	compose
complete	nail
connect	link	tie in	associate	identify	link up	relate
connect	link	tie in	associate	have in mind	link up	mean	relate	think of
hatch	concoct	dream up	think of	think up
connect	join	link	link up	unite
link	yoke
plug in	connect	plug into
construct	reconstruct	retrace
rebuild	reconstruct
restore	reconstruct
construct	fabricate	manufacture
consult	confer
consume	waste	squander	ware
waste	devastate	desolate	lay waste to	ravage	scourge
continue	persist in
stay	continue	stay on	remain
control	handle	keep in line	manipulate
verify	control
convert	change over
cook	brown
cook	cooked	fake	falsify	fudge	manipulate	misrepresent
cool	cool down	cool off
cool	cool down	chill	ice
copulate	couple	mate	pair
costume	dress up
count	enumerate	number
keep down	number
count	consider	weigh
count	weigh	matter
press	weigh
count on	allow	calculate	estimate	figure	forecast	reckon	take into account
cover	wrap up
cover	hatch	brood	incubate
cover	report
cover	cover up
cover	hide	shroud
hide	blot out	obliterate	obscure	veil
cover	deal	address	handle	plow	treat
respond	react	treat
touch	handle	palm
cover	grass	grass over	spread over
graze	crop	grass	pasture
cover	cake	coat	spread over
cover	embrace	comprehend	encompass
cover	extend	continue	ridge
crawl in	turn in	retire	bed	go to bed	go to sleep	hit the hay	hit the sack	sack out
crease	furrow	wrinkle
crease	scrunch	crinkle	crisp	scrunch up	wrinkle
toast	crisp
credit	believe
credit	accredit
credit	finance
cross	baffle	disappoint	foil	frustrate	let down	queer	scotch	spoil	thwart
cross	intersect
cross	cover	cut through	traverse	get over	get across	course	cut across	pass over	track
cross	sweep	traverse	span
get over	bounce back	get well
wipe	pass over
crumble	decay	weather
crumple	crease	crinkle	rumple	wrinkle
crunch	grind	mash
crush	beat	vanquish	beat out	eliminate	shell
crush	beat	vanquish	beat out	get the best	have the best	overcome	shell
crush	beat	vanquish	beat out	overpower	overwhelm	shell
smash	crush	demolish
smash	smash up	bang up
tap out	beat out	thump out
crush	jam
crush	oppress	suppress
cut	edit	edit out
delete	edit
cut	thin	reduce	dilute	thin out
thin	reduce	lose weight	melt off	slim	slim down
cut	reduce	shorten	abbreviate	concentrate	condense	contract	digest
cut	cut off
cut	cut down	trim	reduce	bring down	cut back	trim back	trim down
cut	curve	sheer	slew	swerve	trend	veer
slash	cut down
slash	strap	whip	lash	flog	lather	welt
slash	gash
cut	prune	rationalize
cut	ignore	disregard	snub
cut	make out	issue	write out
cut	turn off	switch off	turn out
turn off	put off
cut	hack
hack	hack on
cut	skip
skip	hop
skip	bound off
cut down	cut out
cut down	mow
mop	mow	pout
cut up	mangle	mutilate
hack	cut up
hack	whoop
deal	administer	allot	deal out	dish out	dispense	distribute	dole out	lot	mete out	parcel out	shell out
spread	distribute	export
deal	care	handle	manage	process
deal	care	direct	handle	manage
deal	make out	contend	cope	get by	grapple	make do	manage
fight	contend	struggle	war
fight	box	contend	struggle
grip	grapple
grip	fascinate	spellbind	transfix
hypnotise	hypnotize	entrance	mesmerize	spellbind
debark	disembark	set down
decrease	circumscribe	confine	lessen	limit
defend	champion
defend	represent
define	delineate	determine	specify
deliver	have	bear	birth	give birth	twin
deliver	return	render
deliver	give up	surrender	cede
deliver	turn in	hand over	fork out	fork over	fork up	render
rescue	deliver
deliver	deport	extradite
depart	go	go away
depart	deviate	diverge	vary
get	become	go
motley	variegate	vary
turn	become
suit	become
depart	sidetrack	straggle
descend	settle	fall
descend	fall	come down	correct	decline	go down	slump
descend	fall	come down	crash	go down
describe	discover	name	key	distinguish	identify	key out
list	name
diagnose	name
list	index
describe	report	account
describe	draw	depict	represent
drag	draw	puff
drag	drag on	drag out
describe	draw	trace	line	delineate
trace	retrace
design	plan	engineer
design	plan	concert	contrive	project
invent	contrive	devise	forge	formulate
plan	project	propose
plan	scheme
design	plan	blueprint	draft
destroy	do away with	eliminate	extinguish	get rid of
destroy	ruin
destroy	demolish
devour	pig	raven
devour	consume	down	go through
diffuse	penetrate	riddle	imbue	permeate	pervade
dig	grasp	apprehend	compass	comprehend	figure	get the picture	savvy
dig	stab	poke	jab	prod
dig	turn over	cut into	delve
dig	excavate	hollow
dig	dig up	dig out
dig	grind	fag	labor	toil	travail
dig into	poke into	probe
dig up	turn up	excavate
dip	sink
dip	dim
discuss	debate	deliberate	hash out	talk over
dislocate	slip	splay
dismiss	dissolve
dismiss	usher out
display	expose	exhibit	bring forth	produce
display	expose	exhibit	bench
display	expose	exhibit	model
show	present	exhibit	demo	demonstrate
uncover	expose
disrobe	strip	undress	peel	strip down
strip	leach
strip	bare
strip	ransack	foray	loot	pillage	plunder	rifle
ransack	comb
strip	undress	divest
disturb	interrupt
divide	partition	separate	zone
divide	fraction	quarter
do	act	behave	did
do	perform	did	execute
do	perform	appear	execute
do	perform	execute	practice	rehearse
perform	church
perform	conduct
do	did	exercise	practice
douse	soak	drench	sop
soak	hock	pawn
douse	dip	dunk	plunge
douse	dip	duck
douse	put out
drape	cloak	clothe	robe
draw	pull back
draw	thread	string	wire
draw	delineate	outline
draw	rule
draw	project
draw	reap
draw in	curl	curl up
loop	coil	curl
draw up	compose	frame
pull up	draw up	haul up
pull up	draw up	straighten up
dress	plume	preen
dress	dress out
dress	trim	garnish
dress	dress up
dress	groom	curry
dress	apparel	clothe	fit out	garb	garment	jacket
dress	apparel	clothe	fit out	garb	garment	shirt
dress	apparel	clothe	fit out	garb	garment	habit
dress	apparel	clothe	coat	fit out	garb	garment
drift	err	stray
drift	freewheel
drill	exercise	practice
drill in	hammer in	beat in	ram down
drink	drink in
drink	imbibe
drink	booze	tank
drink	booze	wine
drink	salute	toast	pledge
drive	push back	repel	beat back	force back	repulse
drive	force	ram
pull	draw	force
ram	crash
pass	crash	go across	go through
pass	go across	go through	muscle
pass	cycle	go across	go through
drive away	drive out	run off	turn back	dispel	drive off	chase away
run off	elope
run off	waste
knock off	waste	do in	liquidate	neutralize
knock off	shave
run off	photocopy
drive out	clear out
drop	knock off
drop	flatten
drop	spend	afford	expend
give	yield	afford
drop	cut down	fell	strike down	log	lumber
drop	put down	set down	drop off	discharge	unload
empty	discharge
lose	drop off	fall back	fall behind	recede
put down	destroy
drop	throw	shed	throw off	cast	throw away	cast off	shake off
shed	spill	pour forth
shed	slough
drop	dribble	drip
drop	drop down	sink	droop	flag	sag
drop	decline
drop	dismiss	send away
drop	swing	dangle
drop off	drop away	fall away	slip
drug	base
duck	parry	dodge	circumvent	elude	evade	fudge	hedge	put off	sidestep	skirt
ring	border	skirt	surround
smother	surround
smother	suffocate
duplicate	repeat	replicate	double
duplicate	parallel	twin
match	couple	mate	pair	twin
earn	garner	letter
eat	corrode	rust
eat	run through	consume	deplete	eat up	exhaust	use up	wipe out
take	occupy	use up
eat	feed
eat	eat on
echo	repeat
ring	echo	resound	reverberate
embark	ship
embark	venture
embrace	sweep up	adopt	espouse
empty	evacuate	void
empty	abandon	vacate
give up	abandon
kick	give up
kick	complain	plain	sound off
enable	empower	endow	gift	invest
fit	equip	adorn	clothe	fit out	invest	outfit
fit	equip	commission	fit out	outfit
enchant	bewitch	jinx	spell	witch
end	conclude	terminate
engulf	soak up	absorb	engross	immerse	plunge	steep
enter	embark
enter	inscribe	recruit	draft	enlist	enroll	muster in
enter	insert	introduce
say	tell	state	introduce	precede	preface	premise
say	tell	state	announce	declare
name	announce	identify
say	tell	state	explain
verify	affirm	swear	swan	assert	avow	declare
swear	depose
swear	bank	rely	trust
enter	inscribe	recruit	enroll	register
enter	figure
inscribe	autograph
inscribe	code	encrypt	write in code
escape	miss
escape	get away	break loose	slip
escape	elude
run	run away	escape	scat	break away	bunk	fly the coop	turn tail
examine	study	analyze	canvas	canvass
study	major
examine	probe
examine	see	seen
examine	test	try	essay	prove	try out
test	screen
quiz	test
sort	screen	screen out	sieve
screen	block out
mask	block out
riddle	screen
shield	screen
sift	rice	sieve	strain
tense	strain	tense up
rub	puree	strain
rub	worry
rub	scratch	chafe	fray	fret
scratch	scrape	scratch up
rub	scratch	itch
itch	spoil
rape	plunder	spoil	violate
scrape	genuflect	kowtow
scrub	scratch	cancel	call off
excuse	explain
exhibit	march	parade
troop	parade	promenade
exit	die	pass	drop dead	buy the farm	choke	croak	decease	expire	go	kick the bucket	pass away	perish	pop off	snuff it
throttle	choke
explode	break loose	burst forth
exploit	work
exploit	overwork
expose	compromise	endanger	peril	queer
extend	reach out	poke out
offer	extend
offer	offer up
unfold	extend	stretch	stretch out
stretch	elongate
extract	distill
extract	draw out	elicit	evoke
suck out	draw out
face	face up	confront
face	breast	confront	front
fall	decrease	diminish	ease off	ease up	flag	lessen	slacken off
fall	decrease	contract	diminish	lessen	shrink
fall	decrease	decline	diminish	go down	lessen	wane
fall	fall down
hang	fall	flow
flood	flow
hang	attend	advert	give ear	pay heed
fall off	fall away
fasten	tighten	firm
fasten	fix	secure
secure	assure	ensure	guarantee	insure
plug	secure	stop up
plug	plug away
punch	plug
punch	perforate
penetrate	perforate
secure	batten	batten down
fate	designate	destine	doom
plan	designate	destine	intend	specify
feed	feed in
feed	feast
feed	run	course	flow	gush	jet
feed	run	course	flow	stream	well out
feel	find
feel	sense
smell	sense	smell out
feel	finger
feel	congratulate	experience	plume	pride
feel	anger	experience	see red
feel	experience	suffer
feel	experience	joy	rejoice
feign	pretend	affect	mouth	sham
touch	mouth
feign	assume	sham	simulate
fiddle	monkey	tamper
mess around	monkey	monkey around	muck about	muck around	potter	putter	tinker
fight	defend	fight back	fight down	oppose
fight off	repel	drive back	rebuff	repulse
repel	rebuff	snub
repel	gross out	disgust	revolt
gross out	freak	freak out
file	register
fill	fill up	make full	prime
fill	meet	fulfill	satisfy
fit	meet	conform to	fulfill	live up to	satisfy
fill	crowd	occupy
fill in	make out	fill out	complete
fill out	round out
fill out	eke out
fill out	pad
fill out	fat	fatten	fatten out	fatten up	flesh out	plump	plump out
squeeze out	eke out
fill out	flesh out	round
find	find out	ascertain	determine	sequence
find	see	seen	witness
find	observe	discover	detect	notice
find	bump	chance	encounter	happen
find	retrieve	access	recover	regain
return	turn back	go back	recover	recuperate	regress	revert
recycle	reclaim	recover	reprocess	reuse
reform	reclaim	rectify	regenerate
reform	see the light	straighten out
restore	regenerate	rejuvenate
finger	thumb
fire	discharge	go off
fire	dismiss	force out	can	send away	displace	give notice	give the sack	sack	terminate
move	displace
move	proceed	go
move	be active
move	act
move	strike	impress	affect
hit	strike	run into	bottom	collide with	impinge on
impress	wow
impress	ingrain	instill
impress	imprint
notify	advise	give notice	send word
penetrate	bottom	fathom
print	impress	letter
print	impress	prove
proceed	keep	continue	go along	go on
rouse	drive out	force out	rout out
force out	crowd out
force out	evict
fish	angle
fit	match	balance
match	meet	cope with
fix	restore	repair	touch on	mend	bushel	doctor	sole
mend	heal
heal	bring around	cure
repair	compensate
restore	reestablish	reinstate
fix	deposit	posit	situate
fix	make	cook	ready	cooked	prepare
fix up	arrange
flash	flaunt	show off
flick	snap	click
flick	jerk
flick	ruffle
flip	turn over	flip over
turn over	consider	debate	deliberate	moot
think	consider	believe	conceive
flip	twitch
toss	flip	pitch	sky
toss	chuck
toss	slash	convulse	thrash	thrash about
slam	slam dance	thrash
lick	bat	clobber	cream	thrash
lick	work	solve	figure out	puzzle out	work out
lick	lap	lap up
slam	flap down
wash	lap
flip	flick	leaf	riff	thumb
flirt	butterfly	romance	chat up	mash
flood	glut
flush	scour	purge
flush	level	even	even out	grade
fly	wing	flight
fly	pilot	jet
fly	fell	vanish
fly	flee	take flight	defect	desert
leave	desert	go away	go forth
leave	leave alone	leave behind
leave	get out	exit	go out
fold	turn up	fold up
follow	keep up	keep abreast
follow	stick to	stick with
follow	accompany	play along
follow	pursue
pursue	go after	quest after	quest for
pursue	act on	follow up on
follow	survey
survey	review	go over
refresh	brush up	review
look back	review	retrospect
refresh	freshen	freshen up
survey	canvas	canvass	poll
prune	dress	trim	clip	snip	crop	cut back	poll
follow	come after	succeed
follow	come
fool	fool around	arse around	horse around
fool around	play around
play around	dabble
force	impel
force out	eject	squeeze out	squirt
format	arrange
free	release	unblock
free	disengage
free	dislodge
free	release	give up	resign	relinquish
give up	resign	vacate	renounce
free	rid
free	release	liberate	loose
liberate	set free
free	discharge
free	relieve	exempt	forgive
fuck	screw	hump	bang	know	love	make out	sleep with	make love	have sex	be intimate	bed	do it	fucking	get it on	have a go at it	have intercourse	have it away	have it off	jazz	lie with	roll in the hay	sleep together
screw	drive in
screw	cheat	jockey	shaft
fuck off	jack off	jerk off	wank	masturbate
gag	strangle	choke	suffocate
get	acquire	grow	develop	produce
win	acquire	gain
learn	acquire
get	let	have
get	find	obtain	incur	receive
get	come	arrive
get in	make it	arrive	go far
let	rent	lease
get	get down	start	begin	commence	set about	set out	start out
start	lead off	begin	commence	inaugurate	introduce	usher in
get	make	have	stimulate	cause	decide	induce
get	make	have	stimulate	cause	encourage	induce
get	make	have	stimulate	cause	induce	inspire	instigate	prompt
make	do	cause	did
make	do	cause	occasion
make	do	breed	cause	engender	spawn
make	create	produce
make	draw
stimulate	hasten	induce	rush
get	aim	drive
get	catch	arrest
get	scram	fuck off	bugger off	buzz off
get	fix	pay back	pay off
get	catch	capture
get	bring	fetch	convey
get	have	experience	receive
have	possess	own
get down	cast down	chill	deject	demoralize	depress	dismay	dispirit
put down	get down	set down	write down
land	set down	beach
put down	place down	set down
put down	lay	repose
put down	land	bring down
land	bring
put down	take down	degrade	demean	disgrace
pull down	take down	tear down	level	dismantle	raze
scare	frighten	alarm	appall	dismay	fright	horrify
take apart	break up	break apart	disassemble	dismantle
sever	break up
take apart	dismember
warn	alarm	alert
warn	admonish	discourage
get in	move in	pull in	draw in
pull in	collect
pick up	call for	collect	gather up
get off	get out	escape	get away	get by
get off	send	send off
get off	turn on	trip	trip out
get off	mail
get off	hop out
get off	light	get down	dismount
swallow	get down
swallow	bury	eat up	immerse	swallow up
get on	advance	come on	come along	get along	progress	shape up
get out	bring out
get over	master	overcome	subdue	surmount
scale	surmount
sweep over	overcome	overpower	overtake	overwhelm
tame	subdue
get through	while away
get up	rise	arise	turn out
get up	attire	deck out	deck up	dress up	fancy up	fig out	fig up	rig out	trick out	trick up
get up	work up
get up	lift	raise	elevate	bring up	shoulder
thrust	shoulder
get up	organize	organise	devise	prepare
ghost	haunt	haunting	obsess
give	pay	devote
give	commit	consecrate	dedicate	devote
give	apply
send	commit	charge	institutionalize
send	air	beam	broadcast	transmit
give	quote
give	feed	corn
give	feed	lunch
give	feed	breakfast
give	kick in	chip in	contribute
kick in	kick down
give	cater	ply	provide	supply
give	furnish	provide	render	supply
give	return	yield	generate	render
give	sacrifice
give	hold	throw	make	have
hold	take for	deem	view as
give	move over	yield	ease up	give way
give	break	collapse	fall in	cave in	founder	give way
trip	founder	stumble
trip	trip up
trip	travel	jaunt
set off	activate	trip	spark	spark off	touch off	trigger	trigger off
travel	cruise	journey
trip up	slip up	stumble
give	hand	reach	turn over	pass	pass on
turn over	knock over	tip over	upset	bowl over	overturn
roll	turn over
give	grant
give out	pass out	distribute	hand out
pass out	black out
run out	give out	fail
run down	run out	peter out	poop out
run down	skim	scan	rake	glance over
rake	crease	graze
run down	exhaust	play out	sap	tire
skip	skim	skitter
give up	part with	spare	dispense with
gobble up	shovel in	bolt down	garbage down
grab	seize
grab	catch	net	take hold of
grab	snap up
grant	yield	concede	forgive
grant	accord	allot
grant	yield	cede	concede
yield	relent	soften
grant	allow
grant	award
greet	receive	recognize	welcome
grow	culture
grow	mature
grow	twin
grow	boom	expand	flourish	thrive
grow	branch
wave	brandish	flourish
grow	expand	spread out
growl	grumble	rumble
grumble	croak	gnarl	murmur	mutter
guess	infer
guess	approximate	assess	estimate	gauge	judge
guess	pretend	hazard	surmise	suspect	venture
hail	acclaim	herald
halt	staunch	stem
harmonize	chord
harmonize	reconcile
harmonize	proportion
harmonize	realize
haunt	frequent	haunting
haunt	stalk	haunting
have	feature	imply	involve
head	head up
hear	try
listen	hear	take heed
try	try on
heat	heat up	hot up
screw up	heat up	hot up
hop up	hot up	soup up
heave	puff	gasp	hove	pant
puff	puff up
puff	huff
heave	gag	retch	hove
heave	buckle	warp	hove
heave	heave up	heft	heft up	hove
heave	billow	hove	surge
inflate	balloon	billow
soar	zoom	soar up	surge
soar	hang glide
help	aid	assist	alleviate	ease	facilitate
help	aid	benefit	do good
help	help oneself
help	serve
serve	dish	dish out	dish up	serve up
hit	score	tally	rack up
whip	mop up	rack up	worst
polish off	wrap up	mop up	clear up	get through	finish off	finish up
whip	whisk
whip	blister	scald
wind up	finish	end up	fetch up	finish up	land up
hit	shoot	grass
shoot	flight
shoot	blast	gun
hit	strike	run into	collide with	glance	impinge on
strike	walk out
hit	make	reach	access	arrive at	attain	gain	get at
hit	make	reach	arrive at	attain	gain	peak	top out
hit	make	reach	arrive at	attain	breast	gain	summit
hit	make	reach	arrive at	attain	gain	top
hit	make	reach	arrive at	attain	gain	ground
reach	reach out
throw	ground
throw	ridge
win	advance	gain	gain ground	get ahead	make headway	pull ahead
hit	strike	come to
hit	remove	murder	slay	polish off	off	dispatch	bump off
murder	mangle	mutilate
hitch	jerk	buck
hitch	hitchhike	thumb
hold	bind	article	obligate	oblige
tie	bind	band
ring	band
tie	draw
hold	defend	guard
hold	hold up	support	pole	sustain
hold	carry	bear	balance	poise
hold	obtain	prevail
hold	book	reserve
hold	entertain	nurse	harbor
shield	harbor
hold	arrest	halt
hold	hold back	keep back	retain
keep back	reserve	withhold
set aside	allow	appropriate	earmark	reserve
set aside	suspend
hold	check	hold in	control	contain	curb	moderate	restrict
hold in	conceal	hold back
tame	moderate	tone down
hold	apply	go for
respond	accept	consent	go for	react
hold	hold up	brave	brave out	defy	endure	weather	withstand
lean	tip	angle	tilt	slant	weather
sail	weather
tip	tiptoe
tap	tip
tap	exploit	mine
tap	bug	intercept	wiretap
knock	rap	tap	pink
knock	ping	pink
knock	criticize	pick apart
tap	beg	lobby	solicit
woo	court	romance	solicit
hold in	confine	enclose	frame
put	cast	couch	frame
shut in	close in	case	encase	enclose
shut in	close in	border	enclose	frame	frame in
shut in	close in	enclose	glass	glass in
hold on	hang on	hang in	persevere	persist
hold on	hang on	hold the line
hold on	stop
hold on	keep	store
keep	prevent
hold out	put out	extend	stretch out	stretch forth
stretch out	crane
hold out	resist	stand firm	withstand
protest	resist	dissent
hold up	delay	detain
hold up	stick up
hold up	hold out	endure	go	last	live	live on	survive
hook	crochet
hook	knock off	glom	cop	snitch
toss off	fling off	knock off	scratch off	dash off
hook	soak	pluck	rob	fleece	plume	surcharge
hope	go for
hope	desire	trust
hug	squeeze	embrace	bosom
hurl	cast	crash	dash	hurtle
scare	dash	daunt	frighten away	frighten off	pall	scare away	scare off
hurl	cast	bowl	hurtle
hurl	thrust	lunge	hurtle
hurt	ail	pain	trouble
hurt	anguish	pain
hurt	injure	wound	offend	bruise	spite
hurt	ache	suffer
yearn	ache	languish	pine	yen
hurt	ache	smart
ignite	combust	catch fire	erupt	take fire
imbibe	assimilate
increase	up
increase	gain	gather
increase	compound	deepen	heighten	intensify
set up	assemble	compound	piece	put together	tack	tack together
increase	appreciate
inquire	enquire	wonder
inquire	enquire	investigate
question	wonder
respond	marvel	react	wonder
insert	stick in	slip in	sneak in
put in	insert	stick in	enclose	glass	introduce
put in	insert	stick in	cup	enclose	introduce
put in	insert	stick in	enclose	introduce	slip
insert	tuck
put in	lay in	hive away	salt away	stack away	stash away	store
put in	break in	cut in	barge in	butt in	chime in	chisel in	disrupt	interrupt
slide	skid	slew	slid	slip
slide	slid	slither
instal	set up	install	establish
instal	install	induct	invest	seat
instal	install	invest	vest
interpret	annotate	comment	gloss
interpret	profile	represent
interpret	mock up	model	represent
interpret	chart	graph	represent
play	act	represent
play	act	act as
invent	make up	cook up	fabricate	manufacture
make	make up
invoke	appeal
jam	ram	wad	cram
jam	pack	pile	mob	throng
pack	load down
join	conjoin
marry	wed	conjoin	espouse	get married	hook up with
join	bring together	fair
join	fall in	get together	unify	unite
jump	climb up	rise
jump	leap	jump off
jump	skip	skip over	pass over
move through	pass across	pass over	pass through	transit
jump	start	startle
jump	jump out	leap out	stick out	stand out
leap out	burst forth	rush out
take up	start
keep	preserve	salt
keep	preserve	corn
keep	keep on	continue	retain
keep	hold back	keep back	restrain
wait	hold off	hold back	delay
stay	delay	detain
keep apart	isolate	sequester	set apart
keep down	reduce	quash	repress	subdue	subjugate
smother	strangle	muffle	repress	stifle
put out	smother
stamp down	conquer	curb	inhibit	subdue	suppress
seize	capture	appropriate	conquer
strangle	cramp	halter	hamper
kill	stamp out
kill	toss off	pop	down	drink down	pour down	belt down	bolt down
kill	defeat	shoot down	vote down	vote out
knead	massage	rub down
knock down	blast
knock down	pull down	push down	cut down	down
knock down	dump	deck	floor
know	acknowledge	recognize
know	realize	recognize
know	get the hang	master
know	experience	live
see	realize	seen	understand
see	perceive	realize	understand
see	appreciate	realize	take account	understand
kowtow	fawn	suck up
label	pronounce	convict	judge
label	pronounce	judge	qualify
try	adjudicate	judge
settle	adjudicate	decide	judge	resolve
settle	concert	determine	square off	square up
settle	compromise	determine	square off	square up
taste	sample	try	try out
taste	smack
land	down	shoot down
land	set ashore	shore
prop	prop up	shore	shore up
land	ground	strand
lay out	range	array	set out
take off	set off	depart	start	part	set forth	set out	start out
part	divide	section	segment	separate
part	divide	joint	separate
split	split up	divide	carve up	lot	separate
sort	sort out	assort	class	classify	isolate	separate
split	cleave
take off	lift off
take off	take time off
lay over	develop	superimpose
lead	head	chair	chairman
lead	head	captain
lead up	initiate
lean	list
list	heel
list	number
learn	con	memorize
learn	teach	instruct	reinforce	reward
learn	teach	ground	instruct
learn	teach	condition	instruct
leave	forget
leave	will	bequeath
leave	depart
leave	lead	result
run	lead	extend	pass	go
pass	fall out	come about	go on	hap	happen	occur	pass off	take place
move on	advance	go on	march on	pass on	progress	string	string along
pass	spend	soldier
pass	spend	weekend
pass	spend	holiday	vacation
put across	pass	acknowledge	communicate	pass along	pass on	receipt
put across	pass	communicate	message	pass along	pass on
pass	make it
pass	sink	lapse
sound	go
transmit	communicate	convey
leave	allow	allow for	provide
let	allow	countenance	permit	tolerate
let	allow	countenance	favor	permit	privilege
let	allow	countenance	permit	trust
let go	release	let go of	relinquish
let in	admit	allow in
let in	admit	include	involve
level	level off
license	licence	accredit	certify	recognize
lift	vacate	annul	overturn	repeal	rescind	reverse	revoke
lift	wind	hoist
run up	hoist
lift	rise	move up	come up	arise	go up
lift	hook	pinch	swipe	abstract	purloin	sneak	filch	cabbage
pinch	tail	top
sneak	slip
lift	rise	hulk	loom	predominate	rear	tower
rise	rise up	come up	surface	swell	well
rise	rise up	arise	rebel
rise	grow	arise	develop	originate	spring up
rise	ascend	move up
rise up	rear
start	initiate	originate
start	embark on	start up	commence
surface	coat
turn up	come out	come on	surface	show up
light	light up	fire up
light	perch	alight
light	ignite
light	fall
list	post
stake	post
put up	post
offer	put up	provide
stake	impale
listen	mind	heed
mind	beware
mind	bear in mind
load	stretch	debase	dilute	doctor	doctor up	sophisticate
load	charge
locate	settle
settle	make up	patch up	reconcile
settle	sink	founder	go down	go under
settle	settle down	root	steady down	take root
settle	get back
settle down	calm	calm down	chill out	cool it	cool off	simmer down
sink	subside
locate	base	situate
lock	shut up	put away	lock away	lock in	lock up	shut away
toss	discard	throw away	toss away	fling	throw out	toss out	cast away	cast out	put away	chuck out	cast aside	dispose
put away	imprison	incarcerate	jail	jug	lag	remand
put away	put to sleep
put away	tuck away	tuck in
put away	put aside
throw out	boot out	drum out	expel	kick out	oust
throw out	advance
throw out	dismiss
train	groom	dispose	prepare	qualify
train	develop	educate	prepare
train	civilize	cultivate	educate	school
swim	school
swim	float
swim	drown	drowned
tame	cultivate	domesticate	naturalize
tame	domesticate	reclaim
lock	operate	engage	mesh
lock	interlock
operate	operate on
look	count	bet	calculate	depend	reckon
look	wait	await	expect
wait	waitress
look	search	cruise
sail	cruise	navigate	voyage
pilot	navigate
search	research	explore
search	go	rifle
look	see	attend	minister	take care
look	see	attend	seen	take care
look	see	attend	take care	tend
mind	take care	tend
look	face	confront	front
look at	consider	view
look for	look to	anticipate
look on	esteem	look upon	regard as	repute	take to be	think of
look up	consult	refer
loosen	relax	loose
loosen	tease	tease apart
untie	undo	loosen
unwrap	undo
lower	frown	glower
lower	turn down
lower	depress
press down	depress
make	piss	pee	urinate	wee	piddle	pee-pee	wee-wee	make water	pass water	puddle	relieve oneself	spend a penny	take a leak
make	shit	crap	defecate	stool	take a crap	take a shit
make	lay down	establish
make	pretend	make believe
pretend	profess
make	build	construct	frame	frame up
make	reach	get to	progress to
make	take in	clear	pull in	earn	bring in	gain	profit	realize	turn a profit
sell	realize
sell	trade	deal	market
sell	betray
make	name	nominate
make out	discern	distinguish	pick out	recognize	resolve	spot	tell apart
mark	differentiate	distinguish
mark	commemorate
mark	spot
mark	flag
mark	brand	denounce	stigmatize
shit	betray	rat	shop	denounce	give away	grass	snitch	stag	tell on
solve	resolve
make up	catch up with
make up	be	comprise	constitute	represent	was
name	appoint	constitute	nominate
map	represent
march	demonstrate
measure	appraise	assess	evaluate	rate	value
measure	appraise	assess	evaluate	praise	value
survey	appraise
measure	endure	last
meet	assemble	gather	group
meet	assemble	crowd	crowd together	gather
meet	assemble	club	gather
meet	celebrate	fete	get together
meet	breast	converge
melt	disappear	evaporate
melt	fade
melt	mellow	mellow out
melt	meld
mix	combine	blend	coalesce	conflate	flux	fuse	meld	merge
mix	integrate
mix	mix in
mix	mingle	unify
mix	ruffle	shuffle
melt	thaw	dissolve
molest	plague	beset	harass	harry	hassle	provoke
move around	travel
name	advert	bring up	cite	mention	quote	refer
observe	note	mention	remark
note	mark	notice
observe	note	take note
observe	bird
observe	track
point out	comment	notice	remark
point out	call attention
point out	represent
respond	acknowledge	notice	react
take down	note
thank	acknowledge	recognize
nuzzle	nose
observe	keep	maintain
observe	abide by	celebrate	honor	respect
observe	keep	celebrate
